player,season,team,role,age,hand,avg_fastball_kmh,max_fastball_kmh,pitch_sample,source_kind,source_url,notes
PARK Chi Guk,2026,Doosan,reliever,28,R,143.5,149,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1213/arsenal,Supplementary current-season role/age sample
MOON Seung Won,2026,SSG,reliever,36,R,144.6,151,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/789/arsenal,Supplementary current-season role/age sample
YUN Tae Ho,2026,Doosan,reliever,22,R,144.6,150,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/275/arsenal,Supplementary current-season role/age sample
CHOI Woo Seok,2026,NC,reliever,21,R,145.9,149,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/489/arsenal,Supplementary current-season role/age sample
JEONG Woo Joo,2026,Hanwha,reliever,19,R,148.0,157,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/565/arsenal,Supplementary current-season role/age sample
HAN Jae Seung,2026,KIA,reliever,24,R,143.8,152,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/257/arsenal,Supplementary current-season role/age sample
JANG Hyun Sik,2026,LG,reliever,31,R,144.7,151,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/players/882/arsenal,31-34 age-band supplementary sample
BAE Jae June,2026,LG,reliever,31,R,146.0,153,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/821/arsenal,31-34 age-band supplementary sample
PARK Sang Won,2026,Hanwha,reliever,31,R,146.0,153,season aggregate,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/1246/arsenal,31-34 age-band supplementary sample
WHITE Mitch,2026,SSG,starter,31,R,148.6,155,720 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/569/arsenal,31-34 age-band supplementary sample
IM Gi Yeong,2026,Samsung,reliever,33,R,135.2,,769 pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/780/season,31-34 age-band supplementary sample; GS 0
HONG Geon Hui,2026,KIA,reliever,33,R,140.4,147,99 tracked pitches,KBO official season aggregate via Yagoonara,https://www.yagoonara.com/en/players/700/arsenal,31-34 age-band supplementary sample
